Record ID,Date,Region,District,Service Type,Role Type,Tenure Band,Fleet Age,Route Cost Per Ton,Stops Per Route,Fleet Utilization Rate,Voluntary Turnover Rate,Safety Incident Rate,Avg Driver Tenure Years,Truck Count,Tons Collected,Revenue
WC-000474_202412,2024-12-01,MidSouth,Arkansas,Commercial,Operator,10+ Years,Aging (6-8yr),36.75,105.0,0.9363,0.0157,2.54,5.3,5,26.0,1135.0
WC-000475_202412,2024-12-01,MidSouth,Arkansas,Industrial,Mechanic,2-5 Years,Mid-Life (3-5yr),43.48,31.0,0.8969,0.022,3.26,4.7,3,10.0,500.0
WC-000476_202412,2024-12-01,MidSouth,Arkansas,E&P,Driver,10+ Years,Mid-Life (3-5yr),49.22,16.0,0.8706,0.0162,2.39,5.1,1,10.0,500.0
WC-000477_202412,2024-12-01,MidSouth,Oklahoma,Residential,Helper,2-5 Years,New (0-2yr),44.67,329.0,0.8974,0.0259,1.54,6.3,23,299.0,17318.0
WC-000478_202412,2024-12-01,MidSouth,Oklahoma,Commercial,Driver,< 1 Year,End-of-Life (9+yr),39.84,102.0,0.8991,0.0171,3.27,4.3,12,96.0,4841.0
WC-000479_202412,2024-12-01,MidSouth,Oklahoma,Industrial,Driver,< 1 Year,Aging (6-8yr),38.32,18.0,0.9518,0.0276,2.49,5.8,3,10.0,500.0
WC-000480_202412,2024-12-01,MidSouth,Oklahoma,E&P,Driver,2-5 Years,Mid-Life (3-5yr),45.66,17.0,0.891,0.0258,1.45,4.8,3,10.0,500.0
WC-000481_202501,2025-01-01,Western,Pacific Northwest,Residential,Driver,< 1 Year,New (0-2yr),43.52,336.0,0.8852,0.0293,2.63,6.2,14,193.0,11070.0
WC-000482_202501,2025-01-01,Western,Pacific Northwest,Commercial,Mechanic,2-5 Years,End-of-Life (9+yr),40.94,152.0,0.8527,0.0194,2.3,5.9,8,34.0,1727.0
WC-000483_202501,2025-01-01,Western,Pacific Northwest,Industrial,Operator,< 1 Year,Mid-Life (3-5yr),41.16,32.0,0.9018,0.0201,2.0,3.8,6,10.0,500.0
WC-000484_202501,2025-01-01,Western,Pacific Northwest,E&P,Driver,2-5 Years,Mid-Life (3-5yr),44.96,20.0,0.9247,0.0224,3.68,3.9,3,10.0,500.0
WC-000485_202501,2025-01-01,Western,Northern California,Residential,Driver,2-5 Years,Aging (6-8yr),48.16,290.0,0.8805,0.0241,2.58,4.3,19,204.0,12928.0
WC-000486_202501,2025-01-01,Western,Northern California,Commercial,Driver,5-10 Years,Mid-Life (3-5yr),38.67,85.0,0.9697,0.0205,2.81,4.0,9,26.0,1153.0
WC-000487_202501,2025-01-01,Western,Northern California,Industrial,Mechanic,5-10 Years,Mid-Life (3-5yr),45.0,38.0,0.9456,0.0163,1.65,5.1,4,10.0,500.0
WC-000488_202501,2025-01-01,Western,Northern California,E&P,Driver,2-5 Years,New (0-2yr),51.74,15.0,0.9291,0.0223,1.41,4.2,2,10.0,500.0
WC-000489_202501,2025-01-01,Western,Southern California,Residential,Mechanic,2-5 Years,End-of-Life (9+yr),44.75,304.0,0.8795,0.0282,1.94,4.0,21,418.0,23622.0
WC-000490_202501,2025-01-01,Western,Southern California,Commercial,Mechanic,2-5 Years,End-of-Life (9+yr),41.03,130.0,0.9569,0.017,2.75,4.3,14,61.0,3127.0
WC-000491_202501,2025-01-01,Western,Southern California,Industrial,Driver,< 1 Year,End-of-Life (9+yr),39.06,30.0,0.9503,0.0165,1.99,6.1,2,10.0,500.0
WC-000492_202501,2025-01-01,Western,Southern California,E&P,Operator,< 1 Year,End-of-Life (9+yr),48.59,9.0,0.9171,0.0223,1.93,3.7,1,10.0,500.0
WC-000493_202501,2025-01-01,Western,Mountain West,Residential,Helper,2-5 Years,Mid-Life (3-5yr),45.12,244.0,0.8758,0.0249,3.12,6.2,9,149.0,7726.0
WC-000494_202501,2025-01-01,Western,Mountain West,Commercial,Mechanic,5-10 Years,Aging (6-8yr),44.25,91.0,0.8761,0.0173,2.41,5.0,7,40.0,2306.0
WC-000495_202501,2025-01-01,Western,Mountain West,Industrial,Driver,1-2 Years,New (0-2yr),48.48,22.0,0.9116,0.0265,2.36,5.9,5,10.0,500.0
WC-000496_202501,2025-01-01,Western,Mountain West,E&P,Mechanic,1-2 Years,Aging (6-8yr),43.7,11.0,0.9025,0.0245,1.48,5.8,4,10.0,500.0
WC-000497_202501,2025-01-01,Southern,Gulf Coast,Residential,Driver,1-2 Years,Aging (6-8yr),39.2,273.0,0.8527,0.0245,1.85,3.9,11,164.0,8563.0
WC-000498_202501,2025-01-01,Southern,Gulf Coast,Commercial,Driver,2-5 Years,Mid-Life (3-5yr),40.26,102.0,0.8995,0.0183,1.8,5.5,7,48.0,2464.0
WC-000499_202501,2025-01-01,Southern,Gulf Coast,Industrial,Helper,1-2 Years,Mid-Life (3-5yr),46.83,17.0,0.9038,0.0193,2.88,5.3,7,10.0,500.0
WC-000500_202501,2025-01-01,Southern,Gulf Coast,E&P,Driver,2-5 Years,Mid-Life (3-5yr),50.29,11.0,0.8461,0.0208,1.95,5.5,2,10.0,500.0
WC-000501_202501,2025-01-01,Southern,Southeast Texas,Residential,Driver,10+ Years,New (0-2yr),45.68,337.0,0.9095,0.0167,2.63,4.0,20,277.0,15450.0
WC-000502_202501,2025-01-01,Southern,Southeast Texas,Commercial,Mechanic,5-10 Years,Mid-Life (3-5yr),49.83,130.0,0.9354,0.0286,2.06,6.2,9,42.0,2459.0
WC-000503_202501,2025-01-01,Southern,Southeast Texas,Industrial,Driver,10+ Years,Mid-Life (3-5yr),39.92,18.0,0.8525,0.0194,2.04,5.3,6,10.0,500.0
WC-000504_202501,2025-01-01,Southern,Southeast Texas,E&P,Driver,5-10 Years,Mid-Life (3-5yr),43.38,12.0,0.8779,0.0201,1.85,3.6,3,10.0,500.0
WC-000505_202501,2025-01-01,Southern,Florida Panhandle,Residential,Driver,1-2 Years,End-of-Life (9+yr),42.25,299.0,0.8977,0.0185,1.45,6.4,17,321.0,17752.0
WC-000506_202501,2025-01-01,Southern,Florida Panhandle,Commercial,Operator,< 1 Year,New (0-2yr),44.78,112.0,0.9386,0.0239,2.93,4.0,10,88.0,4812.0
WC-000507_202501,2025-01-01,Southern,Florida Panhandle,Industrial,Driver,5-10 Years,Aging (6-8yr),50.56,22.0,0.9204,0.0214,3.59,4.8,5,10.0,537.0
WC-000508_202501,2025-01-01,Southern,Florida Panhandle,E&P,Mechanic,2-5 Years,Aging (6-8yr),36.88,16.0,0.8954,0.0268,2.11,5.8,1,10.0,500.0
WC-000509_202501,2025-01-01,Southern,Carolinas,Residential,Mechanic,2-5 Years,New (0-2yr),41.28,254.0,0.8839,0.0213,2.24,6.3,11,111.0,6019.0
WC-000510_202501,2025-01-01,Southern,Carolinas,Commercial,Driver,5-10 Years,Mid-Life (3-5yr),40.84,130.0,0.9292,0.0216,2.1,6.4,9,69.0,3429.0
WC-000511_202501,2025-01-01,Southern,Carolinas,Industrial,Driver,2-5 Years,Aging (6-8yr),41.62,29.0,0.8496,0.0235,2.24,4.7,5,10.0,500.0
WC-000512_202501,2025-01-01,Southern,Carolinas,E&P,Operator,1-2 Years,Mid-Life (3-5yr),40.24,15.0,0.9079,0.0233,2.75,4.0,2,10.0,500.0
WC-000513_202501,2025-01-01,Central,Great Plains,Residential,Mechanic,2-5 Years,Aging (6-8yr),41.22,275.0,0.9341,0.0251,2.3,5.2,14,241.0,13132.0
WC-000514_202501,2025-01-01,Central,Great Plains,Commercial,Driver,5-10 Years,Aging (6-8yr),47.89,97.0,0.8534,0.0234,3.4,3.8,14,52.0,3167.0
WC-000515_202501,2025-01-01,Central,Great Plains,Industrial,Driver,1-2 Years,Mid-Life (3-5yr),38.78,38.0,0.8975,0.0255,2.87,4.9,4,10.0,500.0
WC-000516_202501,2025-01-01,Central,Great Plains,E&P,Driver,2-5 Years,Aging (6-8yr),40.75,18.0,0.9014,0.0256,2.18,3.6,4,10.0,500.0
WC-000517_202501,2025-01-01,Central,Upper Midwest,Residential,Helper,10+ Years,Aging (6-8yr),42.85,330.0,0.9205,0.0189,1.81,5.6,10,235.0,13280.0
WC-000518_202501,2025-01-01,Central,Upper Midwest,Commercial,Mechanic,2-5 Years,Mid-Life (3-5yr),50.48,94.0,0.9623,0.0198,2.1,5.6,14,52.0,3196.0
WC-000519_202501,2025-01-01,Central,Upper Midwest,Industrial,Mechanic,5-10 Years,Mid-Life (3-5yr),45.28,28.0,0.8864,0.0297,3.11,4.8,6,10.0,500.0
WC-000520_202501,2025-01-01,Central,Upper Midwest,E&P,Driver,< 1 Year,End-of-Life (9+yr),41.68,17.0,0.8687,0.0229,2.98,6.4,1,10.0,500.0
WC-000521_202501,2025-01-01,Central,Missouri Valley,Residential,Driver,2-5 Years,Aging (6-8yr),48.19,278.0,0.9372,0.0283,1.62,4.0,20,237.0,14473.0
WC-000522_202501,2025-01-01,Central,Missouri Valley,Commercial,Driver,2-5 Years,Mid-Life (3-5yr),48.39,130.0,0.8811,0.0181,2.3,3.8,5,41.0,2355.0
WC-000523_202501,2025-01-01,Central,Missouri Valley,Industrial,Driver,10+ Years,Aging (6-8yr),41.01,26.0,0.8958,0.0243,2.8,5.5,2,10.0,500.0
WC-000524_202501,2025-01-01,Central,Missouri Valley,E&P,Mechanic,2-5 Years,End-of-Life (9+yr),48.69,17.0,0.8575,0.0234,1.92,4.8,4,10.0,500.0
WC-000525_202501,2025-01-01,Central,Ozarks,Residential,Operator,1-2 Years,Aging (6-8yr),40.74,330.0,0.8986,0.0186,2.26,6.2,13,270.0,14175.0
WC-000526_202501,2025-01-01,Central,Ozarks,Commercial,Operator,10+ Years,New (0-2yr),53.36,131.0,0.8819,0.0234,3.43,4.0,14,133.0,8468.0
WC-000527_202501,2025-01-01,Central,Ozarks,Industrial,Mechanic,2-5 Years,Mid-Life (3-5yr),48.31,41.0,0.9372,0.026,2.93,5.2,7,21.0,1383.0
WC-000528_202501,2025-01-01,Central,Ozarks,E&P,Mechanic,2-5 Years,End-of-Life (9+yr),42.24,20.0,0.9559,0.0269,2.29,5.4,2,10.0,500.0
WC-000529_202501,2025-01-01,Eastern,Mid-Atlantic,Residential,Driver,1-2 Years,Mid-Life (3-5yr),42.61,340.0,0.9357,0.027,2.32,5.4,22,507.0,25890.0
WC-000530_202501,2025-01-01,Eastern,Mid-Atlantic,Commercial,Operator,10+ Years,Aging (6-8yr),44.18,117.0,0.9194,0.0255,2.8,5.0,9,74.0,4323.0
WC-000531_202501,2025-01-01,Eastern,Mid-Atlantic,Industrial,Driver,5-10 Years,Mid-Life (3-5yr),39.27,39.0,0.8878,0.0283,1.42,3.5,7,10.0,500.0
WC-000532_202501,2025-01-01,Eastern,Mid-Atlantic,E&P,Helper,2-5 Years,End-of-Life (9+yr),50.2,18.0,0.8873,0.0191,2.64,5.7,4,10.0,500.0
WC-000533_202501,2025-01-01,Eastern,New England,Residential,Mechanic,1-2 Years,New (0-2yr),47.09,309.0,0.8681,0.0186,2.94,6.2,13,267.0,16868.0
WC-000534_202501,2025-01-01,Eastern,New England,Commercial,Helper,5-10 Years,Mid-Life (3-5yr),39.85,147.0,0.8679,0.0295,1.5,6.1,14,96.0,5171.0
WC-000535_202501,2025-01-01,Eastern,New England,Industrial,Driver,10+ Years,Mid-Life (3-5yr),50.89,37.0,0.9325,0.0181,2.9,3.7,4,10.0,500.0
WC-000536_202501,2025-01-01,Eastern,New England,E&P,Helper,< 1 Year,Mid-Life (3-5yr),49.36,18.0,0.918,0.0185,3.48,5.1,3,10.0,500.0
WC-000537_202501,2025-01-01,Eastern,Great Lakes,Residential,Driver,10+ Years,End-of-Life (9+yr),49.03,340.0,0.9015,0.0169,2.39,6.3,20,527.0,31801.0
WC-000538_202501,2025-01-01,Eastern,Great Lakes,Commercial,Driver,1-2 Years,New (0-2yr),49.95,117.0,0.8656,0.0267,2.79,5.6,6,29.0,1745.0
WC-000539_202501,2025-01-01,Eastern,Great Lakes,Industrial,Operator,1-2 Years,Mid-Life (3-5yr),48.88,24.0,0.8592,0.0155,1.78,4.8,7,10.0,500.0
WC-000540_202501,2025-01-01,Eastern,Great Lakes,E&P,Driver,5-10 Years,Aging (6-8yr),49.35,19.0,0.8694,0.0298,2.8,4.8,2,10.0,500.0
WC-000541_202501,2025-01-01,Eastern,Ohio Valley,Residential,Driver,< 1 Year,New (0-2yr),39.86,298.0,0.858,0.0152,1.62,4.3,17,388.0,18569.0
WC-000542_202501,2025-01-01,Eastern,Ohio Valley,Commercial,Operator,2-5 Years,Mid-Life (3-5yr),48.92,105.0,0.8642,0.0217,2.02,3.7,9,50.0,3023.0
WC-000543_202501,2025-01-01,Eastern,Ohio Valley,Industrial,Operator,5-10 Years,Mid-Life (3-5yr),37.04,33.0,0.9301,0.0226,2.31,5.2,2,10.0,500.0
WC-000544_202501,2025-01-01,Eastern,Ohio Valley,E&P,Driver,< 1 Year,Mid-Life (3-5yr),48.87,17.0,0.8507,0.0244,2.53,5.9,1,10.0,500.0
WC-000545_202501,2025-01-01,Canada,Ontario,Residential,Driver,< 1 Year,Aging (6-8yr),43.71,280.0,0.8713,0.016,1.57,5.4,10,119.0,5986.0
WC-000546_202501,2025-01-01,Canada,Ontario,Commercial,Operator,2-5 Years,New (0-2yr),47.17,116.0,0.9405,0.0197,3.58,5.5,10,80.0,4816.0
WC-000547_202501,2025-01-01,Canada,Ontario,Industrial,Driver,5-10 Years,End-of-Life (9+yr),53.33,21.0,0.907,0.0245,3.43,4.2,4,10.0,500.0
WC-000548_202501,2025-01-01,Canada,Ontario,E&P,Driver,2-5 Years,New (0-2yr),39.89,11.0,0.8805,0.022,3.42,6.3,1,10.0,500.0
WC-000549_202501,2025-01-01,Canada,Alberta,Residential,Operator,10+ Years,Mid-Life (3-5yr),38.74,252.0,0.873,0.0238,2.76,5.5,8,139.0,6340.0
WC-000550_202501,2025-01-01,Canada,Alberta,Commercial,Mechanic,5-10 Years,Mid-Life (3-5yr),46.91,94.0,0.9235,0.0279,1.99,4.4,12,33.0,2005.0
WC-000551_202501,2025-01-01,Canada,Alberta,Industrial,Operator,2-5 Years,New (0-2yr),44.43,39.0,0.9298,0.0293,2.68,3.9,2,10.0,500.0
WC-000552_202501,2025-01-01,Canada,Alberta,E&P,Mechanic,1-2 Years,Mid-Life (3-5yr),51.2,13.0,0.8894,0.0262,1.41,4.3,4,10.0,500.0
WC-000553_202501,2025-01-01,Canada,British Columbia,Residential,Driver,2-5 Years,Mid-Life (3-5yr),45.89,270.0,0.8525,0.0279,3.0,5.4,18,356.0,20616.0
WC-000554_202501,2025-01-01,Canada,British Columbia,Commercial,Driver,10+ Years,Aging (6-8yr),42.47,114.0,0.8773,0.0177,1.99,6.0,8,49.0,2746.0
WC-000555_202501,2025-01-01,Canada,British Columbia,Industrial,Driver,1-2 Years,Aging (6-8yr),46.61,18.0,0.9182,0.0283,3.14,6.4,7,10.0,500.0
WC-000556_202501,2025-01-01,Canada,British Columbia,E&P,Driver,2-5 Years,Aging (6-8yr),38.87,17.0,0.9053,0.0208,1.4,5.0,4,10.0,500.0
WC-000557_202501,2025-01-01,Canada,Quebec,Residential,Driver,2-5 Years,End-of-Life (9+yr),49.7,291.0,0.8793,0.0163,2.27,4.7,20,458.0,27662.0
WC-000558_202501,2025-01-01,Canada,Quebec,Commercial,Operator,1-2 Years,Mid-Life (3-5yr),41.51,143.0,0.8875,0.0236,2.48,4.8,13,39.0,2116.0
WC-000559_202501,2025-01-01,Canada,Quebec,Industrial,Operator,5-10 Years,Aging (6-8yr),42.93,18.0,0.9402,0.0197,3.01,5.2,7,10.0,500.0
WC-000560_202501,2025-01-01,Canada,Quebec,E&P,Driver,5-10 Years,New (0-2yr),44.64,14.0,0.8687,0.0205,1.73,5.4,1,10.0,500.0
WC-000561_202501,2025-01-01,MidSouth,Tennessee Valley,Residential,Mechanic,< 1 Year,New (0-2yr),44.16,336.0,0.9014,0.024,3.18,6.1,19,487.0,25628.0
WC-000562_202501,2025-01-01,MidSouth,Tennessee Valley,Commercial,Mechanic,5-10 Years,Mid-Life (3-5yr),44.59,106.0,0.9514,0.0235,2.92,5.1,5,32.0,1680.0
WC-000563_202501,2025-01-01,MidSouth,Tennessee Valley,Industrial,Driver,5-10 Years,End-of-Life (9+yr),41.66,30.0,0.8571,0.0158,1.58,6.1,5,10.0,565.0
WC-000564_202501,2025-01-01,MidSouth,Tennessee Valley,E&P,Driver,5-10 Years,Mid-Life (3-5yr),41.45,9.0,0.8695,0.0238,1.67,4.4,2,10.0,500.0
WC-000565_202501,2025-01-01,MidSouth,Mississippi Delta,Residential,Operator,5-10 Years,New (0-2yr),46.06,311.0,0.9229,0.0226,3.26,5.6,10,176.0,9991.0
WC-000566_202501,2025-01-01,MidSouth,Mississippi Delta,Commercial,Driver,5-10 Years,New (0-2yr),41.35,111.0,0.864,0.0289,3.06,3.6,6,26.0,1388.0
WC-000567_202501,2025-01-01,MidSouth,Mississippi Delta,Industrial,Driver,< 1 Year,Aging (6-8yr),41.49,28.0,0.8554,0.0238,3.3,5.8,2,10.0,500.0
WC-000568_202501,2025-01-01,MidSouth,Mississippi Delta,E&P,Mechanic,5-10 Years,Mid-Life (3-5yr),49.68,15.0,0.8937,0.0227,2.13,5.6,1,10.0,500.0
WC-000569_202501,2025-01-01,MidSouth,Arkansas,Residential,Driver,5-10 Years,End-of-Life (9+yr),53.09,299.0,0.8891,0.0284,1.7,4.2,8,83.0,5446.0
WC-000570_202501,2025-01-01,MidSouth,Arkansas,Commercial,Helper,10+ Years,New (0-2yr),46.83,133.0,0.855,0.0239,3.32,3.6,10,38.0,2263.0
WC-000571_202501,2025-01-01,MidSouth,Arkansas,Industrial,Driver,5-10 Years,End-of-Life (9+yr),39.66,38.0,0.8639,0.0263,1.42,4.6,4,12.0,612.0
WC-000572_202501,2025-01-01,MidSouth,Arkansas,E&P,Operator,< 1 Year,Aging (6-8yr),44.49,10.0,0.8803,0.0229,2.27,6.0,4,10.0,500.0
WC-000573_202501,2025-01-01,MidSouth,Oklahoma,Residential,Driver,5-10 Years,Mid-Life (3-5yr),48.96,314.0,0.946,0.0208,1.7,6.3,9,114.0,6782.0
WC-000574_202501,2025-01-01,MidSouth,Oklahoma,Commercial,Helper,10+ Years,Mid-Life (3-5yr),51.33,124.0,0.9214,0.0177,3.55,4.7,14,60.0,4058.0
WC-000575_202501,2025-01-01,MidSouth,Oklahoma,Industrial,Operator,2-5 Years,End-of-Life (9+yr),44.08,37.0,0.9165,0.0247,2.87,6.2,5,10.0,569.0
WC-000576_202501,2025-01-01,MidSouth,Oklahoma,E&P,Driver,2-5 Years,New (0-2yr),46.01,16.0,0.8655,0.0167,3.1,5.5,2,10.0,500.0
WC-000577_202502,2025-02-01,Western,Pacific Northwest,Residential,Driver,10+ Years,Aging (6-8yr),36.85,273.0,0.8663,0.0186,2.29,5.8,11,226.0,9878.0
WC-000578_202502,2025-02-01,Western,Pacific Northwest,Commercial,Operator,5-10 Years,Aging (6-8yr),40.13,138.0,0.8738,0.0203,3.74,3.8,7,29.0,1359.0
WC-000579_202502,2025-02-01,Western,Pacific Northwest,Industrial,Driver,< 1 Year,New (0-2yr),42.7,34.0,0.8689,0.0294,2.85,6.3,2,10.0,500.0
WC-000580_202502,2025-02-01,Western,Pacific Northwest,E&P,Mechanic,5-10 Years,New (0-2yr),43.53,9.0,0.9233,0.0231,2.36,5.5,1,10.0,500.0
WC-000581_202502,2025-02-01,Western,Northern California,Residential,Driver,10+ Years,Aging (6-8yr),45.2,314.0,0.8936,0.0154,3.32,4.5,24,196.0,10692.0
WC-000582_202502,2025-02-01,Western,Northern California,Commercial,Driver,2-5 Years,Mid-Life (3-5yr),51.16,130.0,0.8691,0.0205,1.9,6.0,7,73.0,4404.0
WC-000583_202502,2025-02-01,Western,Northern California,Industrial,Mechanic,< 1 Year,Mid-Life (3-5yr),39.8,27.0,0.8807,0.0195,1.92,5.6,2,10.0,500.0
WC-000584_202502,2025-02-01,Western,Northern California,E&P,Mechanic,5-10 Years,Mid-Life (3-5yr),41.19,8.0,0.8445,0.0234,1.62,3.6,3,10.0,500.0
WC-000585_202502,2025-02-01,Western,Southern California,Residential,Driver,< 1 Year,New (0-2yr),53.67,293.0,0.849,0.0168,2.77,6.2,22,244.0,17071.0
WC-000586_202502,2025-02-01,Western,Southern California,Commercial,Mechanic,2-5 Years,Aging (6-8yr),43.24,138.0,0.9108,0.0287,1.56,5.4,10,75.0,4304.0
WC-000587_202502,2025-02-01,Western,Southern California,Industrial,Mechanic,10+ Years,New (0-2yr),49.5,16.0,0.9081,0.0209,3.43,4.7,6,10.0,500.0
WC-000588_202502,2025-02-01,Western,Southern California,E&P,Operator,1-2 Years,End-of-Life (9+yr),45.72,14.0,0.8632,0.0248,3.07,3.8,2,10.0,500.0
WC-000589_202502,2025-02-01,Western,Mountain West,Residential,Helper,2-5 Years,Aging (6-8yr),44.02,303.0,0.8709,0.0195,2.99,5.4,21,257.0,13970.0
WC-000590_202502,2025-02-01,Western,Mountain West,Commercial,Driver,5-10 Years,New (0-2yr),46.74,98.0,0.8938,0.0197,3.31,4.7,6,33.0,1995.0
WC-000591_202502,2025-02-01,Western,Mountain West,Industrial,Driver,1-2 Years,New (0-2yr),40.74,33.0,0.8998,0.0278,3.01,3.8,3,10.0,500.0
WC-000592_202502,2025-02-01,Western,Mountain West,E&P,Mechanic,2-5 Years,New (0-2yr),52.19,12.0,0.8678,0.023,1.74,5.1,1,10.0,500.0
WC-000593_202502,2025-02-01,Southern,Gulf Coast,Residential,Helper,1-2 Years,End-of-Life (9+yr),43.21,346.0,0.9106,0.0199,2.6,4.2,23,329.0,18737.0
WC-000594_202502,2025-02-01,Southern,Gulf Coast,Commercial,Driver,< 1 Year,Aging (6-8yr),38.7,120.0,0.9029,0.0216,2.63,4.2,6,24.0,1177.0
WC-000595_202502,2025-02-01,Southern,Gulf Coast,Industrial,Driver,1-2 Years,Aging (6-8yr),45.29,16.0,0.9603,0.0248,3.14,3.5,2,10.0,500.0
WC-000596_202502,2025-02-01,Southern,Gulf Coast,E&P,Driver,2-5 Years,Aging (6-8yr),38.19,13.0,0.9542,0.0278,2.92,5.5,3,10.0,500.0
WC-000597_202502,2025-02-01,Southern,Southeast Texas,Residential,Driver,5-10 Years,Mid-Life (3-5yr),47.82,309.0,0.9288,0.0266,3.31,4.7,20,380.0,24050.0
WC-000598_202502,2025-02-01,Southern,Southeast Texas,Commercial,Driver,10+ Years,Mid-Life (3-5yr),49.43,129.0,0.8823,0.0199,1.81,6.2,9,76.0,4487.0
WC-000599_202502,2025-02-01,Southern,Southeast Texas,Industrial,Driver,2-5 Years,Aging (6-8yr),52.25,29.0,0.9513,0.0178,3.21,5.5,3,10.0,500.0
WC-000600_202502,2025-02-01,Southern,Southeast Texas,E&P,Mechanic,10+ Years,Mid-Life (3-5yr),48.85,10.0,0.9196,0.0154,3.46,5.9,4,10.0,500.0
WC-000601_202502,2025-02-01,Southern,Florida Panhandle,Residential,Driver,5-10 Years,Aging (6-8yr),40.98,322.0,0.885,0.0246,1.89,3.7,9,103.0,5075.0
WC-000602_202502,2025-02-01,Southern,Florida Panhandle,Commercial,Operator,1-2 Years,Mid-Life (3-5yr),44.26,86.0,0.9124,0.0232,3.16,5.8,6,19.0,956.0
WC-000603_202502,2025-02-01,Southern,Florida Panhandle,Industrial,Driver,5-10 Years,New (0-2yr),49.73,37.0,0.9362,0.017,3.43,6.1,6,11.0,709.0
WC-000604_202502,2025-02-01,Southern,Florida Panhandle,E&P,Operator,10+ Years,Mid-Life (3-5yr),52.79,11.0,0.9586,0.0211,3.18,5.2,1,10.0,500.0
WC-000605_202502,2025-02-01,Southern,Carolinas,Residential,Helper,2-5 Years,New (0-2yr),40.61,336.0,0.9093,0.0298,1.63,3.9,8,91.0,4547.0
WC-000606_202502,2025-02-01,Southern,Carolinas,Commercial,Driver,5-10 Years,Mid-Life (3-5yr),45.38,103.0,0.8631,0.0223,3.12,3.8,12,34.0,1795.0
WC-000607_202502,2025-02-01,Southern,Carolinas,Industrial,Driver,5-10 Years,Aging (6-8yr),42.98,37.0,0.9362,0.022,2.89,5.7,5,10.0,500.0
WC-000608_202502,2025-02-01,Southern,Carolinas,E&P,Operator,2-5 Years,Mid-Life (3-5yr),44.82,20.0,0.9072,0.021,2.0,3.7,3,10.0,500.0
WC-000609_202502,2025-02-01,Central,Great Plains,Residential,Driver,1-2 Years,Aging (6-8yr),42.07,313.0,0.8798,0.0284,2.44,4.4,24,374.0,20648.0
WC-000610_202502,2025-02-01,Central,Great Plains,Commercial,Driver,1-2 Years,Mid-Life (3-5yr),41.73,135.0,0.8667,0.028,2.23,5.1,9,37.0,1918.0
WC-000611_202502,2025-02-01,Central,Great Plains,Industrial,Operator,< 1 Year,Aging (6-8yr),42.81,33.0,0.9101,0.0164,3.31,5.1,3,10.0,500.0
WC-000612_202502,2025-02-01,Central,Great Plains,E&P,Helper,2-5 Years,New (0-2yr),45.59,9.0,0.8717,0.0188,1.94,4.1,4,10.0,500.0
WC-000613_202502,2025-02-01,Central,Upper Midwest,Residential,Mechanic,1-2 Years,New (0-2yr),42.4,318.0,0.9361,0.0272,3.04,6.2,12,88.0,4935.0
WC-000614_202502,2025-02-01,Central,Upper Midwest,Commercial,Driver,1-2 Years,Mid-Life (3-5yr),51.23,89.0,0.9126,0.018,2.11,5.7,7,28.0,1922.0
WC-000615_202502,2025-02-01,Central,Upper Midwest,Industrial,Driver,5-10 Years,Mid-Life (3-5yr),43.03,18.0,0.8534,0.0293,3.63,4.7,2,10.0,500.0
WC-000616_202502,2025-02-01,Central,Upper Midwest,E&P,Mechanic,1-2 Years,End-of-Life (9+yr),40.65,13.0,0.8694,0.0173,1.68,5.1,2,10.0,500.0
WC-000617_202502,2025-02-01,Central,Missouri Valley,Residential,Mechanic,5-10 Years,Aging (6-8yr),42.2,304.0,0.9066,0.0227,1.96,4.0,23,226.0,12267.0
WC-000618_202502,2025-02-01,Central,Missouri Valley,Commercial,Driver,2-5 Years,End-of-Life (9+yr),48.18,99.0,0.9494,0.0234,2.9,5.4,6,42.0,2400.0
WC-000619_202502,2025-02-01,Central,Missouri Valley,Industrial,Helper,10+ Years,New (0-2yr),44.37,27.0,0.9272,0.0269,2.71,6.4,4,10.0,500.0
WC-000620_202502,2025-02-01,Central,Missouri Valley,E&P,Mechanic,2-5 Years,Mid-Life (3-5yr),45.47,9.0,0.8719,0.0164,2.08,4.1,4,10.0,500.0
WC-000621_202502,2025-02-01,Central,Ozarks,Residential,Driver,10+ Years,Mid-Life (3-5yr),50.11,306.0,0.8487,0.0233,2.9,6.1,22,176.0,10271.0
WC-000622_202502,2025-02-01,Central,Ozarks,Commercial,Operator,2-5 Years,End-of-Life (9+yr),48.33,104.0,0.9336,0.0216,3.57,4.8,14,97.0,5620.0
WC-000623_202502,2025-02-01,Central,Ozarks,Industrial,Mechanic,10+ Years,New (0-2yr),39.47,15.0,0.9211,0.0173,3.34,4.3,5,10.0,500.0
WC-000624_202502,2025-02-01,Central,Ozarks,E&P,Driver,2-5 Years,Aging (6-8yr),38.48,10.0,0.9249,0.0162,1.93,4.5,2,10.0,500.0
WC-000625_202502,2025-02-01,Eastern,Mid-Atlantic,Residential,Mechanic,5-10 Years,Mid-Life (3-5yr),46.62,278.0,0.8606,0.0218,1.89,4.9,22,191.0,11031.0
WC-000626_202502,2025-02-01,Eastern,Mid-Atlantic,Commercial,Driver,1-2 Years,Aging (6-8yr),49.18,84.0,0.9084,0.0294,2.18,4.9,6,35.0,2009.0
WC-000627_202502,2025-02-01,Eastern,Mid-Atlantic,Industrial,Driver,5-10 Years,Aging (6-8yr),49.7,20.0,0.924,0.0191,2.29,4.5,7,10.0,500.0
